model_id,model_name,original_model_id,fold,test_subject,count_mae,count_mae_pos,count_mae_neg,mean_pred_count_on_neg,mean_gt_count_on_pos,num_test_samples,source_path
S2,ResCNN,S2,9,76918,1.1697518736402566,3.825865989507631,0.5018401228576321,0.5018401228576321,12.481145370838254,428,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_09_test_76918/test_results.json
S2,ResCNN,S2,10,84479,0.7788187798033369,1.8564003705978394,0.44955773486031425,0.44955773486031425,10.07782682505521,376,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_10_test_84479/test_results.json
S2,ResCNN,S2,11,86463,1.5866378527968676,2.8739864230155945,1.1827638219384586,1.1827638219384586,14.012078046798706,268,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_11_test_86463/test_results.json
S2,ResCNN,S2,12,87369,0.8157472295147148,0.8936301523988898,0.7910936304079972,0.7910936304079972,9.75364654714411,366,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_12_test_87369/test_results.json
S2,ResCNN,S2,13,87447,0.6725805086615197,0.587847963292548,0.7002362658580145,0.7002362658580145,10.174339375597365,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_13_test_87447/test_results.json
S2,ResCNN,S2,14,97706,1.9969256831909798,1.4798936233964077,2.141291742200975,2.141291742200975,10.887312950089921,394,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_14_test_97706/test_results.json
S3,CRNN,S3,0,14287,0.0858208671558735,0.41538298407266305,0.0034303351760257123,0.0034303351760257123,9.104665401370026,430,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_00_test_14287/test_results.json
S3,CRNN,S3,1,14342,0.5238671133151421,1.5819419276329778,0.19255077479068528,0.19255077479068528,11.188558024744834,260,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_01_test_14342/test_results.json
S3,CRNN,S3,2,14547,0.33050080607483046,1.427168065851385,0.023154563128141462,0.023154563128141462,11.529829502105713,402,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_02_test_14547/test_results.json
S3,CRNN,S3,3,20794,0.42929446551201195,1.7996694087982177,0.0010522946623885737,0.0010522946623885737,8.121994781494141,294,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_03_test_20794/test_results.json
S3,CRNN,S3,4,38936,0.46953102090571186,1.592191868640007,0.12911127451206408,0.12911127451206408,11.453274179012217,404,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_04_test_38936/test_results.json
S3,CRNN,S3,5,47779,0.4581038032830094,1.9391203834896995,0.004069533980839009,0.004069533980839009,12.405769620622907,358,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_05_test_47779/test_results.json
S3,CRNN,S3,6,49661,0.7830910435318947,0.11893424262171207,0.9814755343771601,0.9814755343771601,9.380694493003514,400,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_06_test_49661/test_results.json
